内部キー(主),内部キー(副),表示名(日),表示名(英),分割OFFのとき,分割ONのとき,主な情報ソース,備考
book root,place_of_publication,出版地,Place of publication,singular,singular,manifestation,
book root,language,言語,Language,singular,plural,manifestation,
book root,language_type,言語タイプ,Language type,none,plural,manifestation,
book root,edition_display_value,版表示,Edition statement,singular,singular,manifestation,
book root,issue_number_string,号,Issue number,singular,singular,manifestation,
book root,serial_number,通号（数字）,Serial number(numeric),singular,singular,manifestation,
book root,serial_number_string,通号,Serial number,singular,singular,manifestation,
book root,price,価格,Price,singular,singular,manifestation,
book root,access_address,アクセスアドレス,Access address,singular,singular,manifestation,
book root,repository_content,リポジトリのコンテンツ,Repository content,singular,singular,manifestation,
book root,required_role,参照に必要な権限,Required role,singular,singular,manifestation,
book root,except_recent,新刊対象から除外,Excep recent,singular,singular,manifestation,
book root,description,説明,Description,singular,singular,manifestation,
book root,supplement,付録,Supplement,singular,singular,manifestation,
book root,use_license,著者抄録許諾(許諾機関名称),Use license,singular,singular,manifestation,
book root,creator,著者,Creator,singular,plural,manifestation,
book root,creator_transcription,著者(ヨミ),Creator(transcription),none,plural,manifestation,
book root,creator_type,著者タイプ,Creator type,none,plural,manifestation,
book root,contributor,編者,Contributor,singular,plural,manifestation,
book root,contributor_transcription,編者(ヨミ),Contributor(transcription),none,plural,manifestation,
book root,contributor_type,編者タイプ,Contributor type,none,plural,manifestation,
book root,publisher,出版者,Publisher,singular,plural,manifestation,
book root,publisher_transcription,出版者(ヨミ),Publisher(transcription),none,plural,manifestation,
book root,publisher_type,出版者タイプ,Publisher type,none,plural,manifestation,
book root,subject,件名,Subject,singular,plural,manifestation,
book root,subject_transcription,件名(ヨミ),Subject(transcription),singular,plural,manifestation,
book root article,pub_date,,,singular,singular,manifestation,
book root article,volume_number_string,巻,Volume number,singular,singular,manifestation,
book root,catalog,,,singular,,manifestation,要確認
book root,price_string,,,,,manifestation,要確認
book root,manifestation_identifier,,,,,manifestation,要確認	
book root,date_of_discontinuance,,,,,manifestation,要確認
book root,use_license_id,,,,,manifestation,要確認
book root,original,,,,,manifestation,要確認
book root,jan_magazine,,,,,manifestation,要確認
book,shelf,本棚,Shelf,singular,singular,item,
book,checkout_type,貸出区分,Checkout type,singular,singular,item,
book,accept_type,受入区分,Accept type,singular,singular,item,
book,circulation_status,貸出状態,Circulation status,singular,singular,item,
book,retention_period,保存種別,Retention period,singular,singular,item,
book,bookstore,寄贈・購入先,Bookstore,singular,singular,item,
book,item_price,購入価格,Purchase price,singular,singular,item,Item#price 表示名は本ファイルで設定のこと
book,excluding_tax,受入価格(税抜),Excluding Tax,singular,singular,item,
book,tax,消費税額,Tax,singular,singular,item,
book,tax_rate,消費税区分,Tax rate,singular,singular,item,
book,url,URL,URL,singular,singular,item,
book,include_supplements,付録を含む,Include supplements,singular,singular,item,
book,use_restriction,利用制限,Use restriction,singular,singular,item,
book,item_required_role,所蔵の参照に必要な権限,Item required role,singular,singular,item,
book,non_searchable,検索対象から除外,Non searchable,singular,singular,item,
book,acquired_at,受入日,Date of accession,singular,singular,item,
book,item_note,所蔵注記,Item note,singular,singular,item,
book,rank,正本区分,Rank,singular,singular,item,
book,item_identifier,所蔵情報ID,Item identifier,singular,singular,item,
book,library,図書館,Library,singular,singular,item,マッピング表にない
book,remove_reason,除籍理由,Removed reason,singular,singular,item,マッピング表にない
book article,call_number,請求記号,Call number,singular,singular,item,
book,item.location_symbol,,,singular,singular,item,
book,item.statistical_class,,,singular,singular,item,
book,item.location_category,,,singular,singular,item,
book,item.budget_category,,,singular,singular,item,
book article,del_flg,削除フラグ,Delete flag,singular,singular,*,
book,item_exinfo.asset_category,,,,,item,
book,manifestation_extext.test,TEST,TEST,,,manifestation,
